id,title,original_title,original_language,ocr_source,ocr_chars,ocr_lang,ocr_lang_score,overlap_title,overlap_original,overlap_max_local,translated,overlap_translated,overlap_max,translate_error,suspect
4439,Goy,Goy,en,detecttext_essay,78,en,0.9961,0.0,0.0,0.0,0,,0.0,,1
4457,Witchery,La Casa 4,en,detecttext_essay,8,en,0.9996,0.0,0.0,0.0,0,,0.0,,1
4494,Rapture,Arrebato,es,detecttext_alllang,283,en,0.6818,0.0,0.0,0.0,0,,0.0,,1
4883,And Then There Were None,And Then There Were None,,detecttext_essay,18,en,0.9912,0.0,0.0,0.0,0,,0.0,,1
5161,Blood of the Undead: The Unwanted,Blood of the Undead: The Unwanted,en,detecttext_essay,19,en,0.4156,0.0,0.0,0.0,0,,0.0,,1
5421,Monster Hunter,Rosso sangue,it,detecttext_alllang,208,en,0.9851,0.0,0.0,0.0,0,,0.0,,1
5424,Anthropophagous,Antropophagus,it,detecttext_alllang,22,it,0.1918,0.0,0.0,0.0,1,0.0,0.0,,1
5719,Mudhoney!,Mudhoney!,,detecttext_essay,8,en,0.3853,0.0,0.0,0.0,0,,0.0,,1
5734,Biohazard,Biohazard,en,detecttext_essay,10,tr,0.4172,0.0,0.0,0.0,1,0.0,0.0,,1
5751,Sledgehammer,Sledgehammer,en,detecttext_essay,12,fr,0.3784,0.0,0.0,0.0,1,0.0,0.0,,1
5842,Versus,ヴァーサス,ja,detecttext_alllang,10,fr,0.858,0.0,0.0,0.0,1,0.0,0.0,,1
5844,Alive,アライヴ,ja,detecttext_alllang,154,id,0.4279,0.0,0.0,0.0,1,0.0,0.0,,1
5846,Sky High,スカイハイ 劇場版,ja,detecttext_alllang,79,en,0.9781,0.0,0.0,0.0,0,,0.0,,1
6123,Desire,Sehnsucht,en,detecttext_essay,7,de,0.5381,0.0,0.0,0.0,1,0.0,0.0,,1
6404,Nosferatu the Vampyre,Nosferatu - Phantom der Nacht,de,detecttext_alllang,18,sv,0.7017,0.0,0.0,0.0,1,0.0,0.0,,1
6498,Nightwatch,Nattevagten,da,detecttext_alllang,11,en,0.9954,0.0,0.0,0.0,0,,0.0,,1
7006,White Noise 2: The Light,White Noise 2: The Light,en,detecttext_essay,12,en,0.9803,0.25,0.25,0.25,0,,0.25,,1
7091,Vampire's Kiss,Vampire's Kiss,en,detecttext_essay,9,en,0.9184,0.0,0.0,0.0,0,,0.0,,1
7219,Zombie Flesh Eaters,Zombi 2,it,detecttext_alllang,6,en,0.7987,0.3333,0.0,0.3333,0,,0.3333,,1
8555,Creep,Creep,en,detecttext_essay,20,en,0.915,0.0,0.0,0.0,0,,0.0,,1
8851,The Blob,The Blob,en,detecttext_essay,4,en,0.9988,0.0,0.0,0.0,0,,0.0,,1
9030,The Eye,The Eye,en,detecttext_essay,6,en,0.4931,0.0,0.0,0.0,0,,0.0,,1
9059,Tales from the Crypt: Demon Knight,Tales from the Crypt: Demon Knight,en,detecttext_essay,12,en,0.9774,0.3333,0.3333,0.3333,0,,0.3333,,1
9299,Thesis,Tesis,es,detecttext_alllang,7,en,0.932,0.0,0.0,0.0,0,,0.0,,1
9357,One Hour Photo,One Hour Photo,en,detecttext_essay,16,en,0.6298,0.3333,0.3333,0.3333,0,,0.3333,,1
9423,Virus,Virus,en,detecttext_essay,7,la,0.4918,0.0,0.0,0.0,1,0.0,0.0,,1
9533,Red Dragon,Red Dragon,en,detecttext_essay,9,en,0.8707,0.0,0.0,0.0,0,,0.0,,1
9544,FearDotCom,FearDotCom,en,detecttext_essay,12,en,0.9908,0.0,0.0,0.0,0,,0.0,,1
9674,Ringu 0,リング０　バースデイ,ja,detecttext_alllang,4,en,0.9105,0.0,0.0,0.0,0,,0.0,,1
9755,Bloodsuckers,Bloodsuckers,en,detecttext_essay,104,en,0.8144,0.0,0.0,0.0,0,,0.0,,1
9827,Phantoms,Phantoms,en,detecttext_essay,8,pt,0.42,0.0,0.0,0.0,1,0.0,0.0,,1
9937,El Chupacabra,El Chupacabra,en,detecttext_essay,228,en,0.8721,0.0,0.0,0.0,0,,0.0,,1
9945,Vampires,Vampires,en,detecttext_essay,8,en,0.8562,0.0,0.0,0.0,0,,0.0,,1
10008,An American Haunting,An American Haunting,en,detecttext_essay,19,en,0.855,0.3333,0.3333,0.3333,0,,0.3333,,1
10031,Devil's Harvest,Devil's Harvest,en,detecttext_essay,14,en,0.7082,0.0,0.0,0.0,0,,0.0,,1
10041,Broken,Broken,en,detecttext_essay,6,en,0.7297,0.0,0.0,0.0,0,,0.0,,1
10042,Within,Within,en,detecttext_essay,10,ca,0.5185,0.0,0.0,0.0,1,0.0,0.0,,1
10089,Evil Bong,Evil Bong,en,detecttext_essay,8,en,0.9061,0.0,0.0,0.0,0,,0.0,,1
10124,Heartstopper,Heartstopper,en,detecttext_essay,13,en,0.8121,0.0,0.0,0.0,0,,0.0,,1
10263,Tamara,Tamara,en,detecttext_essay,6,en,0.9951,0.0,0.0,0.0,0,,0.0,,1
10336,Spawn,Spawn,en,detecttext_essay,8,,,0.0,0.0,0.0,1,0.0,0.0,,1
10359,Resurrection,Resurrection,en,detecttext_essay,110,en,0.7786,0.0,0.0,0.0,0,,0.0,,1
10489,Cujo,Cujo,en,detecttext_essay,4,en,0.1547,0.0,0.0,0.0,0,,0.0,,1
10578,Dracula II: Ascension,Dracula II: Ascension,en,detecttext_essay,19,it,0.7385,0.3333,0.3333,0.3333,1,0.3333,0.3333,,1
10725,Wolfen,Wolfen,en,detecttext_essay,5,en,1.0,0.0,0.0,0.0,0,,0.0,,1
10836,Dagon,Dagon,en,detecttext_essay,5,tl,0.6326,0.0,0.0,0.0,1,0.0,0.0,,1
10906,Pet Sematary II,Pet Sematary II,en,detecttext_essay,16,en,0.9937,0.3333,0.3333,0.3333,0,,0.3333,,1
11033,Dressed to Kill,Dressed to Kill,en,detecttext_essay,14,en,0.9947,0.3333,0.3333,0.3333,0,,0.3333,,1
11252,Psycho,Psycho,en,detecttext_essay,6,id,0.2909,0.0,0.0,0.0,1,0.0,0.0,,1
11366,Uzumaki,うずまき,ja,detecttext_alllang,7,bs,0.6528,0.0,0.0,0.0,1,0.0,0.0,,1
11428,Sleepwalkers,Sleepwalkers,en,detecttext_essay,14,en,0.9696,0.0,0.0,0.0,0,,0.0,,1
11508,Addams Family Reunion,Addams Family Reunion,,detecttext_essay,6,ilo,0.3557,0.3333,0.3333,0.3333,1,0.3333,0.3333,,1
11811,Leprechaun,Leprechaun,en,detecttext_essay,10,en,0.9388,0.0,0.0,0.0,0,,0.0,,1
11822,Nekromantik,Nekromantik,de,detecttext_alllang,11,et,0.2816,0.0,0.0,0.0,1,0.0,0.0,,1
11906,Suspiria,Suspiria,it,detecttext_alllang,8,en,0.7645,0.0,0.0,0.0,0,,0.0,,1
11917,Saw V,Saw V,en,detecttext_essay,5,en,0.617,0.0,0.0,0.0,0,,0.0,,1
12487,Gozu,極道恐怖大劇場 牛頭 GOZU,ja,detecttext_alllang,6,ht,0.3867,0.0,0.0,0.0,1,0.0,0.0,,1
12517,The Ordeal,Calvaire,fr,detecttext_alllang,8,fr,0.7186,0.0,0.0,0.0,1,0.0,0.0,,1
12532,Rottweiler,Rottweiler,en,detecttext_essay,11,en,0.2796,0.0,0.0,0.0,0,,0.0,,1
12617,Midnight Lace,Midnight Lace,en,detecttext_essay,8,en,0.9824,0.0,0.0,0.0,0,,0.0,,1
12662,Psycho III,Psycho III,en,detecttext_essay,37,fr,0.6337,0.0,0.0,0.0,1,0.0,0.0,,1
13059,The Signal,The Signal,en,detecttext_essay,9,en,0.7493,0.0,0.0,0.0,0,,0.0,,1
13511,Rawhead Rex,Rawhead Rex,en,detecttext_essay,10,en,0.7908,0.0,0.0,0.0,0,,0.0,,1
13553,The Driller Killer,The Driller Killer,en,detecttext_essay,14,en,0.9777,0.3333,0.3333,0.3333,0,,0.3333,,1
14098,100 Feet,100 Feet,en,detecttext_essay,10,en,0.9992,0.0,0.0,0.0,0,,0.0,,1
14212,Pulse 2: Afterlife,Pulse 2: Afterlife,en,detecttext_essay,6,en,0.9671,0.0,0.0,0.0,0,,0.0,,1
14219,Skinwalkers,Skinwalkers,en,detecttext_essay,12,en,0.9616,0.0,0.0,0.0,0,,0.0,,1
14255,Pulse 3,Pulse 3,en,detecttext_essay,6,en,0.9671,0.0,0.0,0.0,0,,0.0,,1
14372,Leviathan,Leviathan,en,detecttext_essay,28,en,0.9245,0.0,0.0,0.0,0,,0.0,,1
14435,My Bloody Valentine,My Bloody Valentine,en,detecttext_essay,19,en,0.4443,0.0,0.0,0.0,0,,0.0,,1
14564,Rings,Rings,en,detecttext_essay,9,en,0.9971,0.0,0.0,0.0,0,,0.0,,1
14838,Hit and Run,Hit and Run,en,detecttext_essay,9,en,0.8394,0.3333,0.3333,0.3333,0,,0.3333,,1
14913,Boogeyman 2,Boogeyman 2,en,detecttext_essay,10,en,0.9236,0.0,0.0,0.0,0,,0.0,,1
15057,The Evil Woods,The Evil Woods,en,detecttext_essay,30,en,0.9636,0.3333,0.3333,0.3333,0,,0.3333,,1
15203,Strangler vs Strangler,Давитељ против давитеља,sh,detecttext_alllang,7,en,0.2405,0.0,0.0,0.0,0,,0.0,,1
15206,The Mother of Tears,La terza madre,it,detecttext_alllang,14,en,0.9827,0.25,0.0,0.25,0,,0.25,,1
15262,Boogeyman 3,Boogeyman 3,en,detecttext_essay,10,en,0.9236,0.0,0.0,0.0,0,,0.0,,1
15724,Encounter of the Spooky Kind,鬼打鬼,cn,detecttext_alllang,26,en,0.8063,0.2,0.0,0.2,0,,0.2,,1
16184,The Happiness of the Katakuris,カタクリ家の幸福,ja,detecttext_alllang,21,en,0.8546,0.25,0.0,0.25,0,,0.25,,1
16209,Jesus Christ Vampire Hunter,Jesus Christ Vampire Hunter,en,detecttext_essay,30,en,0.9815,0.25,0.25,0.25,0,,0.25,,1
16221,Dororo,どろろ,ja,detecttext_alllang,38,en,0.9086,0.0,0.0,0.0,0,,0.0,,1
16231,Wild Zero,Wild Zero,ja,detecttext_alllang,8,it,0.262,0.0,0.0,0.0,1,0.0,0.0,,1
16304,Creepshow 3,Creepshow 3,en,detecttext_essay,10,en,0.9218,0.0,0.0,0.0,0,,0.0,,1
16307,The Wicker Man,The Wicker Man,en,detecttext_essay,13,en,0.9575,0.3333,0.3333,0.3333,0,,0.3333,,1
16611,Blackout,Blackout,en,detecttext_essay,18,en,0.9739,0.0,0.0,0.0,0,,0.0,,1
16843,11:11,11:11,en,detecttext_essay,11,en,0.9639,0.0,0.0,0.0,0,,0.0,,1
17005,Bitten,Bitten,en,detecttext_essay,7,es,0.7193,0.0,0.0,0.0,1,0.0,0.0,,1
17111,Shutter,ชัตเตอร์ กดติดวิญญาณ,th,detecttext_alllang,9,ha,0.4436,0.0,0.0,0.0,1,0.0,0.0,,1
17153,Botched,Botched,en,detecttext_essay,7,en,0.9792,0.0,0.0,0.0,0,,0.0,,1
17166,Insanitarium,Insanitarium,en,detecttext_essay,12,en,0.4819,0.0,0.0,0.0,0,,0.0,,1
17278,Mad Monster Party?,Mad Monster Party?,en,detecttext_alllang,480,en,0.9881,0.3333,0.3333,0.3333,0,,0.3333,,1
17609,Antichrist,Antichrist,en,detecttext_essay,8,en,0.9953,0.0,0.0,0.0,0,,0.0,,1
18009,Leprechaun 2,Leprechaun 2,en,detecttext_essay,11,en,0.9388,0.0,0.0,0.0,0,,0.0,,1
18086,Fright Night Part 2,Fright Night Part 2,en,detecttext_essay,5,en,0.9726,0.3333,0.3333,0.3333,0,,0.3333,,1
18213,Bikini Bloodbath,Bikini Bloodbath,en,detecttext_essay,69,en,0.9367,0.0,0.0,0.0,0,,0.0,,1
18754,Mysterious Island,孤岛惊魂,zh,detecttext_alllang,132,en,0.8165,0.0,0.0,0.0,0,,0.0,,1
18773,Doppelganger,Doppelganger,en,detecttext_essay,11,en,0.8066,0.0,0.0,0.0,0,,0.0,,1
18841,The Lost Skeleton of Cadavra,The Lost Skeleton of Cadavra,en,detecttext_essay,4,et,0.3281,0.2,0.2,0.2,1,0.0,0.2,,1
18870,Minotaur,Minotaur,en,detecttext_essay,8,de,0.8468,0.0,0.0,0.0,1,0.0,0.0,,1
18912,Angst,Angst,de,detecttext_alllang,5,ro,0.4741,0.0,0.0,0.0,1,0.0,0.0,,1
19025,Bhool Bhulaiyaa,भूल भुलैया,hi,detecttext_alllang,21,tl,0.399,0.0,0.0,0.0,1,0.0,0.0,,1
19281,Immortally Yours,Immortally Yours,en,detecttext_essay,146,en,0.9237,0.0,0.0,0.0,0,,0.0,,1
19286,Leprechaun 3,Leprechaun 3,en,detecttext_essay,10,en,0.9388,0.0,0.0,0.0,0,,0.0,,1
19298,Stagknight,Stagknight,en,detecttext_essay,11,ceb,0.2807,0.0,0.0,0.0,1,0.0,0.0,,1
19383,Targets,Targets,,detecttext_essay,41,en,0.7863,0.0,0.0,0.0,0,,0.0,,1
19592,Dead Birds,Dead Birds,en,detecttext_essay,9,en,0.96,0.0,0.0,0.0,0,,0.0,,1
19950,Yavarum Nalam,யாவரும் நலம்,ta,detecttext_alllang,26,en,0.9994,0.0,0.0,0.0,0,,0.0,,1
20019,Brocéliande,Brocéliande,fr,detecttext_alllang,77,fr,0.8953,0.0,0.0,0.0,1,0.0,0.0,,1
20121,Killdozer,Killdozer,en,detecttext_essay,61,en,0.9931,0.0,0.0,0.0,0,,0.0,,1
20216,Cookers,Cookers,en,detecttext_essay,9,de,0.4215,0.0,0.0,0.0,1,0.0,0.0,,1
20432,The Forgotten Ones,The Forgotten Ones,en,detecttext_essay,19,en,0.9879,0.0,0.0,0.0,0,,0.0,,1
20606,Doghouse,Doghouse,en,detecttext_essay,9,en,0.9789,0.0,0.0,0.0,0,,0.0,,1
20608,Pervirella,Pervirella,,detecttext_essay,8,et,0.9242,0.0,0.0,0.0,1,0.0,0.0,,1
21156,Lunacy,Šílení,cs,detecttext_alllang,5,en,0.9673,0.0,0.0,0.0,0,,0.0,,1
21381,Rabid Grannies,Les mémés cannibales,en,detecttext_essay,15,en,0.994,0.0,0.0,0.0,0,,0.0,,1
21506,Noroi: The Curse,ノロイ,ja,detecttext_alllang,5,it,0.4512,0.0,0.0,0.0,1,0.0,0.0,,1
21784,Exte: Hair Extensions,エクステ,ja,detecttext_alllang,4,fr,0.3174,0.3333,0.0,0.3333,1,0.0,0.3333,,1
21860,Born,Born,en,detecttext_essay,4,en,0.5216,0.0,0.0,0.0,0,,0.0,,1
22244,Society,Society,en,detecttext_essay,6,pl,0.803,0.0,0.0,0.0,1,0.0,0.0,,1
22307,Sisters,Sisters,en,detecttext_essay,6,en,0.9643,0.0,0.0,0.0,0,,0.0,,1
22470,Sleepwalker,Sleepwalker,sv,detecttext_alllang,10,en,0.7669,0.0,0.0,0.0,0,,0.0,,1
22749,Bloodlust!,Bloodlust!,en,detecttext_essay,9,pt,0.8799,0.0,0.0,0.0,1,0.0,0.0,,1
22822,ReVamped,ReVamped,en,detecttext_essay,8,en,0.9937,0.0,0.0,0.0,0,,0.0,,1
23122,Maniac,Maniac,en,detecttext_essay,5,en,0.6795,0.0,0.0,0.0,0,,0.0,,1
23508,Embodiment of Evil,Encarnação do Demônio,pt,detecttext_alllang,28,en,0.5485,0.3333,0.0,0.3333,0,,0.3333,,1
23683,The Poker Club,The Poker Club,en,detecttext_essay,21,en,0.995,0.3333,0.3333,0.3333,0,,0.3333,,1
23730,C.H.U.D.,C.H.U.D.,en,detecttext_essay,58,en,0.9499,0.0,0.0,0.0,0,,0.0,,1
23793,Aa Intlo,Aa Intlo,te,detecttext_alllang,61,id,0.2117,0.0,0.0,0.0,1,0.0,0.0,,1
23985,Cremaster 2,Cremaster 2,,detecttext_essay,9,lv,0.3401,0.0,0.0,0.0,1,0.0,0.0,,1
24194,TerrorVision,TerrorVision,en,detecttext_essay,7,en,0.6283,0.0,0.0,0.0,0,,0.0,,1
24196,The Hillside Strangler,The Hillside Strangler,en,detecttext_essay,21,en,0.9712,0.3333,0.3333,0.3333,0,,0.3333,,1
24643,Lost Colony: The Legend of Roanoke,Wraiths of Roanoke,en,detecttext_essay,83,en,0.9966,0.3333,0.0,0.3333,0,,0.3333,,1
24799,Wolvesbayne,Wolvesbayne,,detecttext_essay,12,en,0.8783,0.0,0.0,0.0,0,,0.0,,1
24836,August Underground,August Underground,en,detecttext_essay,24,de,0.93,0.0,0.0,0.0,1,0.0,0.0,,1
24916,Bio Zombie,生化壽屍,cn,detecttext_alllang,9,en,0.4966,0.0,0.0,0.0,0,,0.0,,1
25155,The Stepfather,The Stepfather,en,detecttext_essay,29,en,0.9985,0.0,0.0,0.0,0,,0.0,,1
25241,Squirm,Squirm,en,detecttext_essay,6,en,0.5906,0.0,0.0,0.0,0,,0.0,,1
25438,Trick or Treat,Trick or Treat,en,detecttext_essay,13,en,0.9953,0.3333,0.3333,0.3333,0,,0.3333,,1
25714,The Return of James Battle,Atomik Circus - Le retour de James Bataille,fr,detecttext_alllang,198,fr,0.843,0.0,0.1429,0.1429,1,0.2,0.2,,1
25834,Xtro,Xtro,en,detecttext_essay,4,ha,0.3009,0.0,0.0,0.0,1,0.0,0.0,,1
25983,The House of the Devil,The House of the Devil,en,detecttext_essay,8,ro,0.1928,0.25,0.25,0.25,1,0.0,0.25,,1
26208,Credo,Credo,en,detecttext_essay,30,en,0.9418,0.0,0.0,0.0,0,,0.0,,1
26215,Quicksilver Highway,Quicksilver Highway,en,detecttext_essay,21,en,0.9805,0.0,0.0,0.0,0,,0.0,,1
26588,Summer's Blood,Summer's Blood,en,detecttext_essay,26,en,0.8633,0.0,0.0,0.0,0,,0.0,,1
26678,Night Life,Night Life,en,detecttext_essay,9,en,0.9324,0.0,0.0,0.0,0,,0.0,,1
26679,Spookies,Spookies,en,detecttext_essay,8,en,1.0,0.0,0.0,0.0,0,,0.0,,1
26914,Troll 2,Troll 2,en,detecttext_essay,25,en,0.9971,0.0,0.0,0.0,0,,0.0,,1
27028,Living Dead Lock Up,Living Dead Lock Up,en,detecttext_essay,51,en,0.9981,0.0,0.0,0.0,0,,0.0,,1
27232,Conquest,Conquest,it,detecttext_alllang,7,en,0.9433,0.0,0.0,0.0,0,,0.0,,1
27253,Fingerprints,Fingerprints,en,detecttext_essay,13,en,0.9438,0.0,0.0,0.0,0,,0.0,,1
27276,Gemini,双生児 -GEMINI-,ja,detecttext_alllang,13,de,0.5676,0.0,0.0,0.0,1,0.0,0.0,,1
27324,Pulse,回路,ja,detecttext_alllang,9,en,0.6084,0.0,0.0,0.0,0,,0.0,,1
27361,Black Moon,Black Moon,en,detecttext_essay,9,en,0.6616,0.0,0.0,0.0,0,,0.0,,1
27468,Zombiegeddon,Zombiegeddon,en,detecttext_essay,315,en,0.8723,0.0,0.0,0.0,0,,0.0,,1
27471,"Carmilla, the Lesbian Vampire","Carmilla, the Lesbian Vampire",en,detecttext_essay,19,en,0.9996,0.0,0.0,0.0,0,,0.0,,1
27476,Nightmare Sisters,Nightmare Sisters,en,detecttext_essay,24,en,0.9539,0.0,0.0,0.0,0,,0.0,,1
27477,Thirteen Erotic Ghosts,Thirteen Erotic Ghosts,en,detecttext_essay,62,en,0.8642,0.0,0.0,0.0,0,,0.0,,1
27528,Colic,โคลิค เด็กเห็นผี,th,detecttext_alllang,166,en,0.5534,0.0,0.0,0.0,0,,0.0,,1
27617,Splatter Disco,Splatter Disco,en,detecttext_essay,70,en,0.9249,0.0,0.0,0.0,0,,0.0,,1
27627,Animals,Animals,en,detecttext_essay,32,en,0.5842,0.0,0.0,0.0,0,,0.0,,1
27675,Blood Gnome,Blood Gnome,en,detecttext_essay,10,en,0.01,0.0,0.0,0.0,0,,0.0,,1
27677,Gut Pile,Gut Pile,en,detecttext_essay,35,en,0.9468,0.0,0.0,0.0,0,,0.0,,1
27689,Blood for the Muse,Blood for the Muse,en,detecttext_essay,12,et,0.6149,0.25,0.25,0.25,1,0.0,0.25,,1
27711,Killjoy,Killjoy,en,detecttext_essay,17,en,0.5337,0.0,0.0,0.0,0,,0.0,,1
27712,Killjoy 2: Deliverance from Evil,Killjoy 2: Deliverance from Evil,en,detecttext_essay,24,en,0.9999,0.0,0.0,0.0,0,,0.0,,1
27714,Scar,Scar,en,detecttext_essay,125,en,0.8187,0.0,0.0,0.0,0,,0.0,,1
27729,Rejuvenatrix,Rejuvenatrix,en,detecttext_essay,12,de,0.3634,0.0,0.0,0.0,1,0.0,0.0,,1
27731,B-Witched,B-Witched,en,detecttext_essay,49,en,0.9922,0.0,0.0,0.0,0,,0.0,,1
27739,The Zombie Chronicles,The Zombie Chronicles,en,detecttext_essay,54,en,0.6166,0.3333,0.3333,0.3333,0,,0.3333,,1
27742,Séance,降霊,ja,detecttext_alllang,9,en,0.5598,0.0,0.0,0.0,0,,0.0,,1
27752,Terror Toons 2,Terror Toons 2,en,detecttext_essay,10,en,0.9985,0.0,0.0,0.0,0,,0.0,,1
27755,Maniacal,Maniacal,,detecttext_essay,8,pt,0.88,0.0,0.0,0.0,1,0.0,0.0,,1
27760,SideFX,SideFX,en,detecttext_essay,4,en,0.9561,0.0,0.0,0.0,0,,0.0,,1
27784,Savaged,Savaged,en,detecttext_essay,58,en,0.9966,0.0,0.0,0.0,0,,0.0,,1
27788,My Vampire Lover,My Vampire Lover,en,detecttext_essay,103,en,0.6742,0.3333,0.3333,0.3333,0,,0.3333,,1
27812,Kakurenbo: Hide & Seek,カクレンボ,ja,detecttext_alllang,32,en,0.8483,0.0,0.0,0.0,0,,0.0,,1
27844,Drainiac!,Drainiac!,en,detecttext_essay,134,en,0.9512,0.0,0.0,0.0,0,,0.0,,1
27851,Vampiyaz,Vampiyaz,en,detecttext_essay,70,en,0.7822,0.0,0.0,0.0,0,,0.0,,1
27877,Zombie Bloodbath,Zombie Bloodbath,en,detecttext_essay,274,en,0.9709,0.0,0.0,0.0,0,,0.0,,1
27879,Zombie Bloodbath 3: Zombie Armageddon,Zombie Bloodbath 3: Zombie Armageddon,en,detecttext_essay,36,en,0.9381,0.0,0.0,0.0,0,,0.0,,1
27880,Zombie Hunter Rika,最強兵器女子高生　ＲＩＫＡ,ja,detecttext_alllang,29,es,0.5817,0.3333,0.0,0.3333,1,0.3333,0.3333,,1
27905,Island of the Fishmen,L'isola degli uomini pesce,it,detecttext_alllang,29,en,0.6878,0.0,0.0,0.0,0,,0.0,,1
27951,Ghostwood,Ghostwood,en,detecttext_essay,468,en,0.6795,0.0,0.0,0.0,0,,0.0,,1
28063,"Caltiki, the Immortal Monster",Caltiki - Il mostro immortale,it,detecttext_alllang,8,sl,0.583,0.0,0.0,0.0,1,0.0,0.0,,1
28077,Feast,Feast,en,detecttext_essay,42,en,0.9838,0.0,0.0,0.0,0,,0.0,,1
28079,Demon Lover,Demon Lover,en,detecttext_essay,6,de,0.5662,0.0,0.0,0.0,1,0.0,0.0,,1
28143,Witchouse II: Blood Coven,Witchouse II: Blood Coven,en,detecttext_essay,9,en,0.6756,0.0,0.0,0.0,0,,0.0,,1
28161,Rapturious,Rapturious,en,detecttext_essay,9,en,0.7135,0.0,0.0,0.0,0,,0.0,,1
28196,The Avenging Conscience,The Avenging Conscience,,detecttext_essay,23,en,0.6516,0.3333,0.3333,0.3333,0,,0.3333,,1
28232,Stitches,Stitches,fr,detecttext_alllang,456,en,0.4868,0.0,0.0,0.0,0,,0.0,,1
28265,Lovesick: Sick Love,Lovesick: Sick Love,en,detecttext_essay,17,en,0.9187,0.3333,0.3333,0.3333,0,,0.3333,,1
28269,The Mighty Gorga,The Mighty Gorga,en,detecttext_essay,11,en,0.2357,0.0,0.0,0.0,0,,0.0,,1
28277,99 Women,99 Women,,detecttext_essay,7,fi,0.3871,0.0,0.0,0.0,1,0.0,0.0,,1
28346,Krocodylus,Krocodylus,en,detecttext_essay,10,en,0.9414,0.0,0.0,0.0,0,,0.0,,1
28347,The Thirst: Blood War,The Thirst: Blood War,en,detecttext_essay,9,sl,0.2332,0.0,0.0,0.0,1,0.0,0.0,,1
28352,Hellroller,Hellroller,en,detecttext_essay,56,en,0.9836,0.0,0.0,0.0,0,,0.0,,1
